character_id,name_kr,character_name,normalized_key,scenarios,search_google,search_ko_wiki,search_namu,status,decision,reason,source1,source2,verified_at,precheck_status,precheck_reason,precheck_source,precheck_query
2329,설제,seol_je_2329,seol_je_2329,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A4%EC%A0%9C%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seol_je_2329,https://ko.wikipedia.org/wiki/%EC%84%A4%EC%A0%9C,https://namu.wiki/w/%EC%84%A4%EC%A0%9C,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,설제 삼국지
2330,설형,seol_hyeong_2330,seol_hyeong_2330,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A4%ED%98%95%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seol_hyeong_2330,https://ko.wikipedia.org/wiki/%EC%84%A4%ED%98%95,https://namu.wiki/w/%EC%84%A4%ED%98%95,PENDING,,,,,,REMOVE_CANDIDATE,no key Three Kingdoms keywords in intro,https://ko.wikipedia.org/wiki/%EC%90%90%EA%B8%B0%20%EB%AC%B8%EC%9E%90,설형
2331,설후,seol_hu_2331,seol_hu_2331,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A4%ED%9B%84%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seol_hu_2331,https://ko.wikipedia.org/wiki/%EC%84%A4%ED%9B%84,https://namu.wiki/w/%EC%84%A4%ED%9B%84,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 동오",https://ko.wikipedia.org/wiki/%EC%84%A4%ED%9B%84,설후 삼국지
2332,섭우,seop_u_2332,seop_u_2332,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%AD%EC%9A%B0%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seop_u_2332,https://ko.wikipedia.org/wiki/%EC%84%AD%EC%9A%B0,https://namu.wiki/w/%EC%84%AD%EC%9A%B0,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,섭우 삼국지
2333,성렴,seong_ryeom_2333,seong_ryeom_2333,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%B1%EB%A0%B4%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seong_ryeom_2333,https://ko.wikipedia.org/wiki/%EC%84%B1%EB%A0%B4,https://namu.wiki/w/%EC%84%B1%EB%A0%B4,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,성렴 삼국지
2334,성만,seong_man_2334,seong_man_2334,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%B1%EB%A7%8C%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seong_man_2334,https://ko.wikipedia.org/wiki/%EC%84%B1%EB%A7%8C,https://namu.wiki/w/%EC%84%B1%EB%A7%8C,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,성만 삼국지
2335,성의,seong_ui_2335,seong_ui_2335,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%B1%EC%9D%98%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seong_ui_2335,https://ko.wikipedia.org/wiki/%EC%84%B1%EC%9D%98,https://namu.wiki/w/%EC%84%B1%EC%9D%98,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,성의 삼국지
2336,소비,so_bi_2336,so_bi_2336,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%86%8C%EB%B9%84%20%EC%82%BC%EA%B5%AD%EC%A7%80%20so_bi_2336,https://ko.wikipedia.org/wiki/%EC%86%8C%EB%B9%84,https://namu.wiki/w/%EC%86%8C%EB%B9%84,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%28%EB%B9%84%EB%94%94%EC%98%A4%20%EA%B2%8C%EC%9E%84%20%EC%8B%9C%EB%A6%AC%EC%A6%88%29,소비 삼국지
2337,소유,so_yu_2337,so_yu_2337,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%86%8C%EC%9C%A0%20%EC%82%BC%EA%B5%AD%EC%A7%80%20so_yu_2337,https://ko.wikipedia.org/wiki/%EC%86%8C%EC%9C%A0,https://namu.wiki/w/%EC%86%8C%EC%9C%A0,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%28%EB%B9%84%EB%94%94%EC%98%A4%20%EA%B2%8C%EC%9E%84%20%EC%8B%9C%EB%A6%AC%EC%A6%88%29,소유 삼국지
2338,소제,so_je_2338,so_je_2338,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%86%8C%EC%A0%9C%20%EC%82%BC%EA%B5%AD%EC%A7%80%20so_je_2338,https://ko.wikipedia.org/wiki/%EC%86%8C%EC%A0%9C,https://namu.wiki/w/%EC%86%8C%EC%A0%9C,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,소제 삼국지
