id,name,slug,status,query,title,path,url,score,reason,desc_excerpt,categories
169,한숭,han_sung_169,KEEP,한숭,한숭,/w/%ED%95%9C%EC%88%AD,https://namu.wiki/w/%ED%95%9C%EC%88%AD,9,strong:후한 말|조위,"후한 말의 문관이며 자 는 덕고(德高)로 형주 의양군 출신이다. 생애 어릴 때부터 학문을 좋아하였고, 가",후한의 인물 | 한나라의 관료 | 난양시 출신 인물 | 조위의 인물
175,포신,po_sin_175,KEEP,포신(삼국지),포신(삼국지),/w/%ED%8F%AC%EC%8B%A0(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%ED%8F%AC%EC%8B%A0(%EC%82%BC%EA%B5%AD%EC%A7%80),9,strong:후한 말;qual:삼국지,"후한 말의 군웅 이자 포소 , 포훈 의 아버지, 포도 의 형으로 포단의 아들. 연주 태산군 現 산동",후한의 군벌 | 태산 포씨 | 152년 출생 | 192년 사망 | 전쟁 사망자 | 타이안시 출신 인물
176,공융,kong_rong_176,KEEP,공융,공융,/w/%EA%B3%B5%EC%9C%B5,https://namu.wiki/w/%EA%B3%B5%EC%9C%B5,9,strong:후한 말|삼국시대,후한 말의 관원이자 삼국시대 초기의 인물로 자 는 문거(文擧). 예주 노국 노현 사람이자 공자 의,후한의 인물 | 한나라의 관료 | 곡부 공씨 | 153년 출생 | 208년 사망 | 참수된 인물
178,왕광,wang_gwang_178,KEEP,왕광(조위),왕광(조위),/w/%EC%99%95%EA%B4%91(%EC%A1%B0%EC%9C%84),https://namu.wiki/w/%EC%99%95%EA%B4%91(%EC%A1%B0%EC%9C%84),11,strong:삼국시대|조위;qual:조위,"삼국시대 의 조위 의 관료이며 자는 공연(公淵)으로 왕릉 의 장남, 왕비효 , 왕금호 , 왕명산 의 형.",조위의 인물 | 태원 왕씨 | 타이위안시 출신 인물
190,양봉,yang_bong_190,KEEP,양봉(삼국지연의),양봉(삼국지연의),/w/%EC%96%91%EB%B4%89(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98),https://namu.wiki/w/%EC%96%91%EB%B4%89(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98),12,strong:삼국지연의;qual:삼국지|삼국지연의,삼국지연의 의 가공인물 로 남만 독룡동 서쪽에 위치한 은야동의 21번째 동주. 행적 맹획 이 제갈량 에게 연,삼국지/가공인물
192,이각,i_gak_192,KEEP,이각,이각,/w/%EC%9D%B4%EA%B0%81,https://namu.wiki/w/%EC%9D%B4%EA%B0%81,7,strong:후한 말,후한 말의 인물. 동탁 의 수하 장수이자 군벌 . 생애 손견 이 호진 을 발라 버리고 화웅 을 참살하자,198년 사망 | 후한의 군벌 | 한나라/무관 | 시안시 출신 인물 | 참수된 인물
195,화웅,hwa_ung_195,KEEP,화웅,화웅,/w/%ED%99%94%EC%9B%85,https://namu.wiki/w/%ED%99%94%EC%9B%85,7,strong:삼국지연의,""" 닭 잡는 데 어찌 소 잡는 칼을 쓰려 하십니까? "" - 삼국지연의 연의의 오리지널 대사는 아니고, 논어",191년 사망 | 후한의 인물 | 한나라/무관 | 전쟁 사망자
198,이숙,i_suk_198,KEEP,이숙(손오),이숙(손오),/w/%EC%9D%B4%EC%88%99(%EC%86%90%EC%98%A4),https://namu.wiki/w/%EC%9D%B4%EC%88%99(%EC%86%90%EC%98%A4),13,strong:삼국시대|손오|오나라;qual:손오,삼국시대 오나라 의 관료이며 자는 위공(偉恭)으로 형주 남양군 사람. 생애 어려서 재능이 있다고 알려졌고,손오의 인물
241,파재,pa_jae_241,KEEP,파재,파재,/w/%ED%8C%8C%EC%9E%AC,https://namu.wiki/w/%ED%8C%8C%EC%9E%AC,9,strong:후한 말|황건적,후한 말의 황건적 . 생애 184년 에 장각 이 난을 일으키자 그의 명령에 호응해 난을 일으켰고 영천 에,황건적
242,팽탈,paeng_tal_242,KEEP,팽탈,팽탈,/w/%ED%8C%BD%ED%83%88,https://namu.wiki/w/%ED%8C%BD%ED%83%88,9,strong:후한 말|황건적,후한 말의 황건적 . 184년에 장각 이 난을 일으키자 그의 명령에 호응해 난을 일으킨 것으로 여겨지며 황보숭,황건적
243,마원의,ma_wonui_243,KEEP,마원의,마원의,/w/%EB%A7%88%EC%9B%90%EC%9D%98,https://namu.wiki/w/%EB%A7%88%EC%9B%90%EC%9D%98,9,strong:후한 말|황건적,"후한 말의 황건적 . 생애 태평도의 대방(大方)으로 형주, 양주 일대에서 수만 명을 모았으며, 거사하기 이전에",황건적 | 184년 사망 | 거열형된 인물
