character_id,name_kr,character_name,confirmed,best_score,best_title,best_path,best_url,reason_flags,best_desc
361,주영,ju_yeong_361,NO,-1,비정상적인 트래픽 감지,/w/주영,https://namu.wiki/w/%EC%A3%BC%EC%98%81,"title_mismatch,path_match",
362,장명,jang_myeong_362,NO,-1,비정상적인 트래픽 감지,/w/장명,https://namu.wiki/w/%EC%9E%A5%EB%AA%85,"title_mismatch,path_match",
365,팽재,paeng_jae_365,NO,-1,비정상적인 트래픽 감지,/w/팽재,https://namu.wiki/w/%ED%8C%BD%EC%9E%AC,"title_mismatch,path_match",
370,원준,won_jun_370,NO,-1,비정상적인 트래픽 감지,/w/원준,https://namu.wiki/w/%EC%9B%90%EC%A4%80,"title_mismatch,path_match",
375,팽우,paeng_u_375,NO,-1,비정상적인 트래픽 감지,/w/팽우,https://namu.wiki/w/%ED%8C%BD%EC%9A%B0,"title_mismatch,path_match",
376,설원,seol_won_376,NO,-1,비정상적인 트래픽 감지,/w/설원,https://namu.wiki/w/%EC%84%A4%EC%9B%90,"title_mismatch,path_match",
377,육민,yuk_min_377,NO,-1,비정상적인 트래픽 감지,/w/육민,https://namu.wiki/w/%EC%9C%A1%EB%AF%BC,"title_mismatch,path_match",
380,이원,i_won_380,NO,-1,비정상적인 트래픽 감지,/w/이원,https://namu.wiki/w/%EC%9D%B4%EC%9B%90,"title_mismatch,path_match",
381,설준,seol_jun_381,NO,-1,비정상적인 트래픽 감지,/w/설준,https://namu.wiki/w/%EC%84%A4%EC%A4%80,"title_mismatch,path_match",
382,진준,jin_jun_382,NO,-1,비정상적인 트래픽 감지,/w/진준,https://namu.wiki/w/%EC%A7%84%EC%A4%80,"title_mismatch,path_match",
388,조덕,jo_deok_388,NO,-1,비정상적인 트래픽 감지,/w/조덕,https://namu.wiki/w/%EC%A1%B0%EB%8D%95,"title_mismatch,path_match",
392,조수,jo_su_392,NO,-1,비정상적인 트래픽 감지,/w/조수,https://namu.wiki/w/%EC%A1%B0%EC%88%98,"title_mismatch,path_match",
395,황현,hwang_hyeon_395,NO,-1,비정상적인 트래픽 감지,/w/황현,https://namu.wiki/w/%ED%99%A9%ED%98%84,"title_mismatch,path_match",
396,원평,won_pyeong_396,NO,-1,비정상적인 트래픽 감지,/w/원평,https://namu.wiki/w/%EC%9B%90%ED%8F%89,"title_mismatch,path_match",
398,유준,yu_jun_398,NO,-1,비정상적인 트래픽 감지,/w/유준,https://namu.wiki/w/%EC%9C%A0%EC%A4%80,"title_mismatch,path_match",
401,진진,jin_jin_401,NO,-1,비정상적인 트래픽 감지,/w/진진,https://namu.wiki/w/%EC%A7%84%EC%A7%84,"title_mismatch,path_match",
404,원수,won_su_404,NO,-1,비정상적인 트래픽 감지,/w/원수,https://namu.wiki/w/%EC%9B%90%EC%88%98,"title_mismatch,path_match",
407,이호,i_ho_407,NO,-1,비정상적인 트래픽 감지,/w/이호,https://namu.wiki/w/%EC%9D%B4%ED%98%B8,"title_mismatch,path_match",
408,이수,i_su_408,NO,-1,비정상적인 트래픽 감지,/w/이수,https://namu.wiki/w/%EC%9D%B4%EC%88%98,"title_mismatch,path_match",
410,조우,jo_u_410,NO,-1,비정상적인 트래픽 감지,/w/조우,https://namu.wiki/w/%EC%A1%B0%EC%9A%B0,"title_mismatch,path_match",
411,황재,hwang_jae_411,NO,-1,비정상적인 트래픽 감지,/w/황재,https://namu.wiki/w/%ED%99%A9%EC%9E%AC,"title_mismatch,path_match",
412,마수,ma_su_412,NO,-1,비정상적인 트래픽 감지,/w/마수,https://namu.wiki/w/%EB%A7%88%EC%88%98,"title_mismatch,path_match",
413,정안,jeong_an_413,NO,-1,비정상적인 트래픽 감지,/w/정안,https://namu.wiki/w/%EC%A0%95%EC%95%88,"title_mismatch,path_match",
416,이영,i_yeong_416,NO,-1,비정상적인 트래픽 감지,/w/이영,https://namu.wiki/w/%EC%9D%B4%EC%98%81,"title_mismatch,path_match",
422,이준,i_jun_422,NO,-1,비정상적인 트래픽 감지,/w/이준,https://namu.wiki/w/%EC%9D%B4%EC%A4%80,"title_mismatch,path_match",
426,한원,han_won_426,NO,-1,비정상적인 트래픽 감지,/w/한원,https://namu.wiki/w/%ED%95%9C%EC%9B%90,"title_mismatch,path_match",
428,주충,ju_chung_428,NO,-1,비정상적인 트래픽 감지,/w/주충,https://namu.wiki/w/%EC%A3%BC%EC%B6%A9,"title_mismatch,path_match",
429,유호,yu_ho_429,NO,-1,비정상적인 트래픽 감지,/w/유호,https://namu.wiki/w/%EC%9C%A0%ED%98%B8,"title_mismatch,path_match",
430,손덕,son_deok_430,NO,-1,비정상적인 트래픽 감지,/w/손덕,https://namu.wiki/w/%EC%86%90%EB%8D%95,"title_mismatch,path_match",
431,정충,jeong_chung_431,NO,-1,비정상적인 트래픽 감지,/w/정충,https://namu.wiki/w/%EC%A0%95%EC%B6%A9,"title_mismatch,path_match",
432,동명,dong_myeong_432,NO,-1,비정상적인 트래픽 감지,/w/동명,https://namu.wiki/w/%EB%8F%99%EB%AA%85,"title_mismatch,path_match",
433,오원,o_won_433,NO,-1,비정상적인 트래픽 감지,/w/오원,https://namu.wiki/w/%EC%98%A4%EC%9B%90,"title_mismatch,path_match",
437,동현,dong_hyeon_437,NO,-1,비정상적인 트래픽 감지,/w/동현,https://namu.wiki/w/%EB%8F%99%ED%98%84,"title_mismatch,path_match",
438,마민,ma_min_438,NO,-1,비정상적인 트래픽 감지,/w/마민,https://namu.wiki/w/%EB%A7%88%EB%AF%BC,"title_mismatch,path_match",
440,원안,won_an_440,NO,-1,비정상적인 트래픽 감지,/w/원안,https://namu.wiki/w/%EC%9B%90%EC%95%88,"title_mismatch,path_match",
445,의라왕,uira_445,NO,-1,비정상적인 트래픽 감지,/w/의라왕,https://namu.wiki/w/%EC%9D%98%EB%9D%BC%EC%99%95,"title_mismatch,path_match",
446,부여중,bu_yeojung_446,NO,-1,비정상적인 트래픽 감지,/w/부여중,https://namu.wiki/w/%EB%B6%80%EC%97%AC%EC%A4%91,"title_mismatch,path_match",
518,악침,ak_chim_518,NO,-1,비정상적인 트래픽 감지,/w/악침,https://namu.wiki/w/%EC%95%85%EC%B9%A8,"title_mismatch,path_match",
